X,Y,OBJECTID,FULL_ADDRESS,Name,PID,BWID,Address,DateAdded,DateDeleted,GlobalID
-80.8266260961415,35.1960342699831,315414,1015 PROVIDENCE RD,Harris Teeter,15510165,100036513,414641,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{F7021D97-6CA6-4939-A693-0713A390F2AE}
-80.7512247277881,35.2947251754972,315776,8109 UNIVERSITY CITY BV,Patel Brothers,04930128,,435612,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{2BD9DCA7-6132-437E-B846-CE3383EB6164}
-80.764902531185,35.341530814266,316060,2720 W MALLARD CREEK CHURCH RD,Harris Teeter,02901106,301183226,386354,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{ADB655F9-DF56-4BE5-828C-AA0A90669874}
-80.6594628283632,35.1709063332703,319184,6828 MATTHEWS-MINT HILL RD,Publix ,19518256,301938910,546238,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{F4859069-8DA9-4041-8CBD-FC0914C16EC2}
-80.8104468057757,35.2197465200846,320519,1704 CENTRAL AV,Harris Teeter,12901102,100036512,54324,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{7CA4897A-998D-452C-AA20-3DF8EDBC09FD}
-80.8300778371448,35.1474589355623,327506,6610 FAIRVIEW RD,Whole Foods Market,18313324,301628370,533197,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{DF70D4BB-50A3-404B-9419-0EC1FACBC115}
-80.7097874845865,35.1248775977673,327516,1811 MATTHEWS TOWNSHIP PY,Harris Teeter,19329218,100024822,58228,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{D713CCB8-47A9-4DAA-935D-6BB2EA4DA8CA}
-80.6444361740621,35.1813029172987,333658,8118 BLAIR RD,Food Lion,13901153,300178579,418386,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{011A7A99-6A2E-440E-9CC4-39EBDE0EC652}
-80.7395503898065,35.1379305207922,334262,9820 MONROE RD,Food Lion,21322104,300166790,425233,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{AF37040B-DF60-4D1E-89E4-03BD491118A5}
-80.85799299788,35.0916839368795,336013,10124 JOHNSTON RD,Food Lion,22119138,300299915,390564,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A33C75C5-2482-4891-8B96-61092D4B7BDA}
-80.8594361874008,35.0904667965718,336171,8322 PINEVILLE-MATTHEWS RD #205,Walmart Neighborhood Market,22119144,,411192,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{2A682289-2687-4311-8B86-6ABB54E8DE11}
-80.8606237641178,35.3055947366273,337192,4001 SUNSET RD,Food Lion,03711203,300178568,423081,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{8B2C2876-79D2-4060-8AEC-7C0C184D51CB}
-80.786645131102,35.372985711565,337416,5208 RIDGE RD,Publix,02756104,,562311,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{9C36D7E3-9DFE-497F-A8E6-DDA1F0D6CFE0}
-80.8559818194387,35.4807372777596,340259,21720 CATAWBA AV,Harris Teeter,00751199,,547512,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A0585389-23E6-4F28-8A08-0B37EA983D81}
