NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
340,32,6,35,8,1.7,1.7,1.6,1.7,1.8,1.8,1.42,1.42,1.42,1.42,1.48,1.48,76.4,10.3,100,4541,100,4003,100,4182,100,4003,100,3959,100,3911,105,2524,103,2673,112,3372
341,36,7,37,6,1.7,1.7,1.7,1.7,1.9,1.9,1.54,1.55,1.54,1.55,1.71,1.69,75.4,12.6,100,1899,100,1898,100,1898,100,1797,100,1798,100,1816,263,12338,292,12844,346,14873
342,37,22,16,11,1.7,1.7,1.7,1.7,2.2,2.2,1.48,1.48,1.51,1.52,1.86,1.85,75.4,8.4,100,426,100,426,100,424,100,424,100,357,100,357,2047,131004,2348,138503,2096,140452
343,45,10,52,9,1.8,1.8,1.8,1.8,1.8,1.7,1.39,1.39,1.39,1.39,1.4,1.4,81.5,8.5,100,1076,100,860,100,861,100,858,100,844,100,940,59,713,66,796,66,786
344,65,11,65,10,1.6,1.6,1.6,1.6,1.5,1.5,1.29,1.29,1.3,1.3,1.3,1.31,56.4,4.7,100,850,100,839,100,794,100,787,100,752,100,727,76,380,78,469,80,479
345,72,17,71,10,1.3,1.3,1.3,1.3,1.3,1.3,1.27,1.27,1.27,1.27,1.3,1.29,18.4,2.5,66.32,252,66.23,251,51.98,197,51.85,196,51.85,196,51.85,196,19,39,25,51,26,52
346,64,4,57,8,1.5,1.5,1.4,1.5,1.4,1.4,1.23,1.23,1.23,1.23,1.23,1.23,21.9,3.0,99.62,1052,99.62,1052,99.53,1051,100,1055,100,1054,100,1056,45,627,39,506,41,581
347,7,6,7,5,1.9,1.9,1.9,1.8,1.9,1.8,1.25,1.25,1.24,1.24,1.24,1.24,84.6,3.9,100,355,100,348,100,345,100,347,100,347,100,278,134,1071,159,1272,166,1495
348,75,5,71,7,1.4,1.4,1.4,1.4,1.5,1.4,1.21,1.21,1.21,1.21,1.23,1.24,22.9,7.0,59.85,775,59.89,775,59.58,765,59.66,766,59.63,765,59.77,768,9,60,6,40,7,46
349,51,10,44,26,1.4,1.4,1.4,1.4,1.4,1.4,1.14,1.14,1.15,1.15,1.15,1.15,34.8,2.0,99.38,637,91.57,608,92.91,734,93.03,734,99.75,787,99.75,787,17,84,15,77,13,64
