NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
76,1299,1296,3,3390,3,3390,3,3335,2,3193,2,2465,1,1935,1,987,41,5,40,5,23,5,22,6,8,4,8,4,43,5,41,6,56.4,88.2,36,15,34,14,26.5,5.3,6,1,8,4,6.5,3.5,0,2,4,6,2.4,1.2,11,5,14,5,8.2,1.9,19.4,252,19.3,251,19.4,252,19.4,252,19.4,252,19.4,252
77,1023,1026,6,5969,6,5969,6,5972,6,5972,5,5533,4,4224,0,344,29,3,31,2,29,5,26,5,4,1,5,2,32,3,30,4,37.6,78.2,35,6,37,6,32.6,15.4,5,1,5,4,4.4,3.5,0,1,8,5,2.6,0.6,14,3,20,5,22.8,2.3,28.1,287,28.1,287,28.1,287,28,287,28,287,28,287
78,634,630,3,2068,3,2068,3,2068,3,2052,3,1958,3,1679,2,1101,29,2,29,2,26,6,23,7,6,3,6,3,32,9,33,8,47.2,73,36,14,32,13,28,15.1,9,1,8,2,8.1,6.7,0,2,4,7,4.4,2,17,7,22,7,12.3,3.2,9.3,59,9.3,59,9.3,59,9.3,59,9.2,58,9.2,58
79,73,73,31,2292,31,2280,24,1744,24,1737,31,2282,21,1546,23,1718,30,4,30,2,32,7,28,6,1,2,2,2,1,1,1,1,3.2,7,25,11,26,12,22.7,38.8,0,2,0,1,0,1.1,0,2,1,3,0.6,2.3,74,12,72,11,73.5,50.9,1.9,1,1.9,1,1.9,1,1.9,1,1.9,1,1.9,1
80,689,689,3,2211,3,2218,3,2197,3,2196,3,2214,3,2050,1,483,30,3,27,2,6,5,16,10,1,3,1,2,20,7,18,6,39,73.4,46,20,52,24,41.6,16.2,24,5,19,7,7.4,6.4,0,2,0,2,2.8,0.9,9,8,10,8,9.2,3.1,52.7,364,52.7,364,52.7,363,52.8,363,52.8,363,52.8,363
81,191,193,6,1207,6,1207,6,1176,6,1176,6,1176,6,1128,4,792,39,10,40,8,29,12,29,9,8,8,5,5,61,19,47,13,53.3,73.4,20,17,22,17,26.3,13,1,3,7,7,6.5,8.7,0,3,4,8,2.3,2.2,12,12,20,18,11.6,2.8,14,27,14,27,14,27,13.8,27,13.8,27,13.8,27
82,374,380,9,3321,9,3251,8,3175,7,2526,7,2526,5,1768,0,32,30,3,31,4,35,5,32,6,3,2,3,3,38,6,39,6,42,100,31,12,34,10,27.6,0,8,1,8,7,11,0,0,2,6,6,3.2,0,20,9,14,10,16.2,0,26.5,99,26.5,99,26.5,99,26.1,99,26.1,99,26.1,99
83,2399,2399,0,882,0,878,0,852,0,848,0,850,1,1495,0,1008,42,3,40,9,27,7,30,8,12,4,10,4,36,5,31,7,43.5,79.4,12,8,12,8,7.6,14.8,1,3,2,1,7.8,1.2,2,3,2,5,3.8,1.8,49,19,53,18,37.3,2.8,59.7,1432,59.7,1432,59.7,1432,59.7,1432,59.9,1438,59.9,1438
84,2482,2485,0,703,0,618,0,635,0,695,0,728,0,628,0,838,49,7,45,9,19,13,26,13,8,11,12,8,75,12,73,16,72.9,68.8,0,3,8,14,13.4,23.6,0,5,0,3,3.2,0,0,5,0,13,1.6,2.1,25,27,19,23,8.9,5.5,48.5,1205,48.5,1205,48.5,1205,48.5,1205,48.5,1205,48.5,1205
85,276,276,7,1978,7,1989,7,1993,7,1980,7,1965,7,1791,7,1820,35,7,34,6,33,10,34,7,10,3,9,3,0,1,2,3,0.7,1,98,5,95,4,93.7,94.3,0,3,0,1,0.9,0.2,0,3,3,5,2.7,1,0,1,0,1,2,3.5,8.6,24,8.6,24,8.6,24,8.6,24,8.6,24,8.6,24
