NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
186,55403,6102,53077,7426,19,25,26,26,22,23,96,22,89,4,2.2,1406,1.6,1030,1.5,936,1.5,929,1,639,0.9,593,0.9,603,1,605,1.1,675,1.2,774,1.2,758,1,664,1,657,1.3,795,0.31,2,1.1,7,0.63,4,1.42,9,0.31,2,0.63,4,0.79,5,0.47,3,50114,350797,50114,350798,49514,396110,49688,447191,50439,453948,55264,497378,28,27,28,31,29,27,5,40,5,38,5,39,5,38,5,38
187,120729,39918,107375,37104,2,2,3,3,3,2,91,79,100,0,3.3,509,0.7,106,0.6,96,0.5,78,0.4,68,0,5,0.3,41,0.3,41,0.2,28,0,7,0.2,33,0.2,29,0.3,40,0.2,29,0,0,2.53,4,1.9,3,1.92,3,2.55,4,3.19,5,0.64,1,0,0,27483,82448,52149,156447,52182,156547,52182,156547,47020,94039,47020,94039,5,7,6,5,5,3,65,262,5,21,5,21,5,21,5,21
188,92039,19293,93654,20783,2,2,2,2,4,5,83,64,92,28,0.2,68,0.1,49,0.1,45,0.1,53,0.2,69,0.3,122,0.6,220,0.5,188,0.3,119,0.1,53,0.1,52,0.1,32,0.1,42,0.1,29,1.93,7,1.65,6,0,0,0.83,3,0,0,0,0,0.28,1,0,0,8041,16081,8041,16082,8041,16081,5658,16973,5658,16973,5658,16973,17,16,16,33,31,29,100,772,22,159,23,166,22,164,16,119
189,69630,14230,68820,4444,4,4,4,4,8,9,84,32,89,34,5.6,462,6.5,537,6.4,525,5.5,450,3.8,314,2.4,195,0.6,51,0.5,37,1.5,119,2.9,238,3.2,265,1.4,113,1.5,124,0.4,32,3.65,3,4.87,4,3.65,3,0,0,18.27,15,123.04,101,84.06,69,0,0,4591,9181,4591,9182,4591,9181,4591,9181,4591,9181,4591,9181,19,18,18,16,15,13,95,429,96,434,96,434,96,434,96,434
190,39181,35832,37554,28915,40,40,50,48,44,44,91,47,89,20,1,657,1,661,1,695,1,659,1.2,769,0.9,589,9.8,6518,10.2,6757,7.3,4826,1.4,903,1,675,1.1,699,1.2,796,1.4,912,0.15,1,0.3,2,1.2,8,0.75,5,0.9,6,0.9,6,1.35,9,0.15,1,26997,1079898,26390,1055600,26390,1055602,26390,1055602,27336,1038766,27336,1038766,43,42,41,40,40,38,44,168,49,187,49,188,49,188,49,188
191,59403,10230,63947,10090,7,7,9,9,11,10,100,173,96,24,0.5,214,0.2,93,0.1,61,0.2,66,0.1,46,0.1,38,0.1,48,0.1,50,0.1,42,0.1,40,0.1,31,0,18,0,17,0,9,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0,11.54,49,6038,30189,6038,30190,6038,30189,6038,30189,6038,30189,6038,30189,33,32,31,30,28,26,0,0,17,160,17,160,17,160,0,0
192,69792,13961,61402,5309,8,14,18,18,16,16,93,20,92,14,1.2,1654,1.1,1466,1.2,1718,1.3,1753,1.2,1720,1.3,1780,1.1,1590,1,1429,1.2,1617,1.2,1638,0.9,1309,0.9,1241,0.9,1223,1,1392,0.65,9,2.95,41,1.44,20,0.29,4,0.22,3,0.5,7,0.22,3,0.29,4,16500,709482,16500,709500,16842,707355,16802,705666,16802,705666,16802,705666,25,24,21,20,18,16,54,649,53,591,56,579,60,575,62,568
193,85724,50732,84042,45890,7,8,7,6,10,9,96,30,86,5,4.4,1329,3.9,1179,3.6,1086,3.2,991,5.6,1704,5,1514,5.9,1787,6.4,1952,5.9,1785,5.3,1617,5,1531,5.5,1682,5.6,1712,5,1523,4.26,13,4.26,13,2.29,7,0.33,1,2.62,8,2.29,7,3.28,10,4.92,15,17701,424834,17701,424824,17761,426274,17761,426274,17738,425704,17738,425704,44,42,42,41,39,37,68,389,72,406,71,404,71,403,71,406
194,169250,22975,164597,22567,1,1,1,1,2,2,84,30,96,2,0.4,279,0.3,253,0.3,247,0.4,305,0.4,284,0.4,291,0.5,377,0.6,410,0.6,452,0.5,362,0.5,363,0.4,316,0.4,269,0.3,246,0.41,3,0.41,3,0.81,6,0.54,4,1.09,8,0.95,7,0.54,4,0.54,4,10510,105095,11586,104274,11586,104277,11522,103701,11522,103701,10530,105303,24,25,24,23,21,21,19,212,22,226,22,226,22,226,22,226
195,55234,19253,70208,18050,12,13,15,15,18,14,98,46,95,4,0,37,0,43,0,20,0,13,0.1,56,0,19,0,25,0,20,0,19,0,18,0,13,0,6,0,8,0,7,0.74,8,0.28,3,0,0,0.18,2,0,0,2.78,31,0,0,0.09,1,3122,15612,2872,11488,2364,7093,2364,7093,2364,7093,2364,7093,12,13,16,15,13,11,0,0,0,0,0,0,0,0,0,0
196,58654,17159,61830,11984,18,19,24,24,22,24,95,25,84,6,0.1,132,0.1,131,0.1,117,0.1,120,0.2,146,0.3,276,0.2,181,0.2,190,0.2,173,0.2,170,0.2,196,0.2,208,0.1,133,0.1,125,0.31,3,0.52,5,0.62,6,0.1,1,0.1,1,0.1,1,0,0,0.1,1,9708,87374,10662,85296,10734,85874,10039,80309,10031,80247,10031,80247,40,35,43,42,40,38,0,0,1,4,1,4,1,4,1,4
197,45526,12190,36492,9652,22,26,28,27,27,26,84,47,86,7,0.3,102,0.2,65,0.1,45,0.1,27,0,14,0,15,0.1,16,0.1,21,0.1,19,0.1,24,0.1,31,0.1,28,0.1,21,0.1,31,1.89,6,0.63,2,0.94,3,0.31,1,0,0,0.31,1,0,0,1.26,4,3269,3269,3269,3269,3269,3269,3269,3269,3269,3269,3269,3269,25,24,23,22,20,18,0,1,0,1,0,1,0,2,0,2
198,74468,46575,104777,46729,9,7,7,7,8,9,100,36,100,0,1.5,490,1.6,519,1.8,564,1.8,567,2.2,700,1.8,559,1.7,544,1.7,556,1.6,502,1.3,425,1.4,445,1.4,435,1.4,451,1.4,447,0.31,1,5.01,16,0.31,1,0.94,3,3.13,10,3.76,12,1.25,4,0.31,1,5021,15063,5021,15063,5021,15063,5021,15063,5021,15063,4770,14310,39,38,38,36,35,32,80,662,83,684,83,680,83,679,83,668
199,32063,8265,28662,5079,39,42,49,47,43,37,85,32,77,28,4,1522,4,1535,4,1532,3.5,1350,2.9,1122,2.7,1048,2.5,949,2.9,1112,2.9,1118,2,751,1.7,644,1.4,554,1.3,508,1.6,625,2.35,9,2.87,11,4.17,16,3.13,12,2.34,9,1.56,6,4.69,18,1.82,7,41438,1326008,41318,1322176,41048,1354568,26509,848274,42143,1348564,42012,1344369,34,33,33,32,30,28,0,0,0,0,0,0,0,0,0,0
200,29375,18249,21282,5579,35,36,72,69,80,77,96,41,95,9,3.3,295,4.3,390,4.8,430,5.1,462,3.8,338,3.4,304,4.5,402,4.1,367,10.3,924,9.2,824,9.2,825,7.7,689,9.1,816,5.5,499,11.14,10,3.34,3,10.03,9,2.23,2,2.23,2,4.46,4,7.8,7,10.03,9,25684,385254,25845,387675,25845,387678,23114,392943,18732,337168,18732,337168,51,50,49,47,50,48,100,425,100,425,100,240,100,240,100,235
201,134286,38548,101932,34867,2,2,2,2,2,2,87,49,97,24,0.2,165,0.2,143,0.3,239,0.3,219,0.3,212,0.1,97,0.2,137,0.3,217,0.4,293,0.3,260,0.3,225,0.2,192,0.3,228,0.2,179,0,0,0.24,2,0,0,0.12,1,0.12,1,0.37,3,0.12,1,0.24,2,1940,13577,1940,13580,1940,13577,1940,13577,1940,13577,1816,14527,32,31,30,29,27,23,0,0,0,0,24,277,24,279,24,279
202,31071,13787,38086,13557,34,35,40,39,33,32,95,38,83,6,1.2,317,1,256,1.1,270,0.8,215,0.9,233,1.1,286,4.2,1072,4.6,1172,1.4,345,1.1,292,1.6,410,1.5,394,1.5,376,1.6,397,0.39,1,0,0,0.78,2,0,0,0,0,0.39,1,1.96,5,0.78,2,22715,90858,23357,93428,27563,82688,29896,89688,33393,200356,27126,217011,36,34,34,30,36,31,61,432,49,351,49,351,49,351,49,351
203,77908,9809,75250,9454,7,9,11,11,9,14,93,44,95,2,0,14,0,16,0,12,0.1,27,0,10,0,6,0,14,0,16,0,13,0,15,0,12,0,6,0,2,0,8,0.58,3,0,0,0.38,2,0.19,1,0,0,0.77,4,1.34,7,0.38,2,462,462,462,462,462,462,462,462,462,462,1689,3378,17,16,15,14,12,5,0,0,0,0,0,0,0,0,0,0
204,74963,19873,72127,17031,2,2,3,3,3,4,87,49,96,3,2.2,551,2.4,592,2.4,588,2,493,1.2,305,1.7,437,1.9,474,1.8,451,1.1,269,0.5,118,0.2,56,0.2,49,0.1,30,0.1,37,2.8,7,8.39,21,7.19,18,1.6,4,2.4,6,2,5,3.99,10,3.99,10,39296,550148,39296,550144,39296,550148,39296,550148,39296,550148,39319,550459,12,11,10,9,7,5,87,580,91,587,94,578,94,578,94,578
205,178702,9903,176319,64410,0,0,0,0,1,2,95,19,96,6,0.8,286,0.8,283,0.9,301,0.8,296,0.5,177,0.4,151,0.4,145,0.4,130,0.1,38,0.3,114,0.3,110,0.3,105,0.4,137,0.4,143,0,0,0,0,0,0,0.28,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
206,97768,22115,118839,39319,3,2,2,2,2,3,89,39,97,30,0.8,106,0.5,69,0.5,69,0.5,70,0.8,110,1.1,146,1.3,178,1.5,198,0.4,52,0.5,73,0.5,71,0.5,72,0.5,74,0.5,71,0,0,0,0,0,0,0,0,0,0,0.73,1,0,0,0,0,7388,14775,7388,14776,7388,14775,7388,14775,7388,14775,7388,14775,28,27,27,25,23,21,87,490,86,488,86,489,86,489,86,489
207,58846,11395,54633,6994,6,7,6,6,5,8,98,31,95,5,7.4,3744,5.7,2881,5.3,2697,4.7,2406,4.3,2165,3.9,1975,3,1549,3.3,1690,2.2,1119,2.5,1272,1.8,891,1.7,864,1.8,893,1.7,873,3.75,19,3.75,19,5.52,28,4.33,22,2.56,13,3.93,20,5.7,29,5.31,27,49073,1864781,49073,1864774,50736,1927970,51814,1917120,52202,1774867,54836,1699911,15,14,13,13,12,11,41,755,56,1019,68,1020,67,1014,54,565
208,247159,24837,230221,38439,0,0,0,0,1,1,99,35,96,17,0.2,85,0.2,96,1,508,0.9,484,0.3,144,0.2,88,0.2,119,0.2,107,0.2,95,0.1,63,0.2,83,0.2,78,0.1,71,0.1,67,0.2,1,0,0,0,0,0.59,3,0.2,1,0.2,1,0.2,1,0.39,2,,,,,,,,,,,,,,,,,,,1,10,1,5,1,5,1,5,1,4
209,64151,6296,61159,4407,11,12,14,17,15,17,91,29,94,5,0.1,44,0.1,43,0,18,0,14,0,12,0,13,0,15,0,7,0,19,0,2,0,3,0,2,0,8,0,4,1.07,9,0.24,2,0.84,7,0.36,3,1.91,16,3.46,29,0.24,2,0.12,1,6491,38944,7558,37790,6399,31993,5113,15338,1152,1152,1152,1152,15,3,16,23,64,62,1,16,10,143,10,143,12,143,11,115
210,63125,12867,51860,13788,3,4,6,6,6,9,87,24,98,25,8.9,1538,7.1,1224,6.5,1139,5,873,5.2,910,4.8,837,4,704,5.1,895,5.2,901,5,877,4,704,3.8,665,4.8,830,5.7,990,4.03,7,19.02,33,4.61,8,14.98,26,5.19,9,4.61,8,4.61,8,4.61,8,71593,1217075,71593,1217081,71593,1217075,51053,867893,43368,607157,38243,497158,20,19,18,17,19,18,90,1369,92,1394,92,1390,91,1151,91,1154
211,67401,10314,71016,15089,16,16,18,18,15,16,97,37,93,5,0,12,0,11,0.1,55,0,25,0.1,43,0.1,39,0.1,39,0.1,47,0.1,35,0.1,45,0.1,60,0.1,40,0.1,51,0.1,45,0,0,0.18,1,0,0,0,0,0,0,0.18,1,0,0,0,0,7213,21638,7213,21639,7213,21638,7213,21638,10567,21134,10567,21134,38,37,36,35,45,43,0,0,0,0,0,0,0,0,0,0
212,29824,10423,31406,17670,24,27,31,29,27,32,95,37,79,29,10.5,5625,9.7,5192,9.9,5261,9.1,4870,8.1,4332,8.6,4583,8.8,4696,10.5,5607,8.8,4688,11.7,6246,10.6,5672,9.9,5272,8.4,4459,8.5,4523,4.31,23,3.93,21,8.8,47,3.18,17,9.17,49,1.87,10,23.21,124,2.81,15,36166,3218768,33819,2976072,33744,2969474,33491,2980689,33407,2973186,33569,2987642,38,38,37,36,34,32,52,259,53,266,53,266,50,251,50,251
213,109855,66106,119904,59557,1,1,1,1,1,1,100,19,100,0,20.3,6566,18.3,5902,17,5502,20.7,6692,16.2,5230,15.9,5150,16.3,5249,17.3,5583,15.9,5147,17.2,5555,17.4,5606,16.1,5187,17.9,5782,18.3,5912,14.24,46,13.93,45,14.86,48,21.97,71,20.12,65,20.12,65,10.21,33,6.19,20,97510,2437751,128384,3081216,127563,2933951,134091,3084086,135735,3121912,128038,2944885,31,32,31,29,27,25,61,360,63,370,64,383,66,414,66,414
215,166382,54887,163092,62512,1,0,1,1,0,0,90,47,100,0,0.1,26,0.3,81,0.1,32,0.1,40,0.1,40,0.1,36,0.1,43,0.2,54,0.2,49,0.1,36,0.1,36,0.1,25,0.1,45,0.3,104,0.66,2,0,0,0,0,0.66,2,0,0,0.33,1,0.99,3,0,0,829,2487,829,2487,829,2487,829,2487,829,2487,829,2487,43,42,41,40,38,36,0,0,0,0,0,0,0,0,0,0
216,102000,34130,129375,49868,0,1,1,1,1,4,100,34,96,3,0.3,54,0.2,43,0.2,42,0.3,55,0.2,34,0.6,120,0.6,129,0.5,104,0.3,59,0.3,59,0.7,139,0.6,118,0.6,117,0.2,49,0,0,1.95,4,0.97,2,0,0,0.49,1,0,0,0.49,1,0.49,1,7168,7168,7168,7168,7168,7168,7168,7168,7168,7168,7168,7168,67,66,65,64,62,60,62,233,63,235,65,234,65,233,65,236
217,148618,61517,166083,86003,1,0,0,0,0,0,98,44,98,7,0.1,58,0.1,42,0.1,39,0.1,43,0.2,74,0.2,72,0.2,72,0.1,59,0.1,52,0.1,35,0.1,34,0.1,42,0.1,51,0.1,58,0.24,1,0.24,1,0,0,0.72,3,0,0,0,0,0,0,0.72,3,,,,,,,,,,,,,,,,,,,12,63,32,161,32,162,32,161,29,143
218,70440,14536,70867,6199,8,9,12,10,11,10,94,19,92,4,0.6,313,0.7,336,0.7,380,0.7,346,0.4,228,0.3,161,0.4,223,0.4,207,0.5,246,0.8,416,0.8,394,0.5,242,0.6,317,0.6,287,0,0,0.39,2,1.36,7,0.39,2,0.39,2,0.39,2,1.56,8,0.19,1,5304,47735,4774,47740,4460,49061,4060,44659,4610,46104,4610,46104,17,15,17,16,15,13,34,418,47,505,47,505,41,505,40,496
219,27143,5400,27614,5570,5,7,10,12,9,10,95,11,94,8,2.9,3228,2.9,3245,3,3338,3.1,3441,3,3392,2.7,3060,2.5,2797,2.3,2592,2.5,2757,2.5,2807,2.4,2646,2.4,2652,2.1,2387,2.1,2331,9.45,106,4.01,45,2.85,32,2.41,27,1.78,20,1.43,16,1.78,20,1.34,15,38517,1848832,37757,1850093,38624,1853932,38725,1820084,38671,1817550,40425,1859527,24,24,24,24,23,22,26,256,23,229,22,218,3,25,22,175
220,47639,21472,36579,14751,16,19,22,21,21,20,99,26,96,7,1,443,0.7,310,0.7,304,0.7,290,0.7,284,0.6,272,0.6,262,0.7,301,0.6,275,0.5,208,0.4,193,0.5,195,0.4,179,0.4,191,0.23,1,0.7,3,0.7,3,0,0,0.47,2,0,0,0.7,3,0.47,2,5631,135141,5431,119482,5633,135202,5633,135202,5636,135259,5636,135259,39,38,37,36,36,34,32,209,31,204,31,204,31,204,31,208
221,40354,13923,30846,6903,12,13,15,17,13,15,94,29,97,49,1.2,507,1.1,454,1.1,447,1,438,0.9,390,1.6,668,1.7,705,1.8,747,2.7,1121,2.4,1001,2.4,1035,2.4,1015,2.7,1127,2.8,1178,0.71,3,0.24,1,0.24,1,0.47,2,0.47,2,1.89,8,0.47,2,0.47,2,13050,182698,13050,182700,13050,182698,13050,182698,13729,178472,13729,178472,36,35,34,33,33,31,22,265,37,441,38,443,28,291,27,267
222,106121,13163,99559,16858,1,1,1,1,2,2,90,47,98,2,0.2,65,0.2,65,0.2,60,0.3,78,0.2,76,0.2,68,0.2,65,0.2,72,0.2,73,0.3,78,0.2,50,0.2,54,0.1,22,0.1,29,0,0,0,0,0,0,0,0,0,0,0,0,0.32,1,0.32,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
223,34654,22788,35417,28134,26,28,33,31,29,30,98,31,83,15,0.3,76,0.3,73,0.2,65,0.1,31,0.2,70,0.2,51,0.3,88,0.3,75,0.3,100,0.2,70,0.2,65,0.2,63,0.3,98,0.4,113,0.34,1,0,0,0,0,0.69,2,0.34,1,0.34,1,0.34,1,0.34,1,3518,31658,3525,35250,3486,34861,3491,34909,3491,34909,3058,33639,52,50,49,48,46,43,13,84,25,162,12,81,12,81,12,81
224,79243,23985,76053,26171,4,4,4,4,5,6,100,228,95,7,0.6,229,0.6,219,0.6,227,0.6,232,0.5,200,0.7,264,0.8,300,0.9,339,0.8,299,0.8,327,0.8,293,0.7,263,0.7,251,0.6,224,0,0,1.82,7,1.3,5,0.26,1,0.52,2,0.52,2,0.26,1,0,0,23155,115777,12830,64150,12830,64152,12830,64152,12830,64152,13540,67702,25,27,26,25,23,21,0,0,0,0,0,0,0,0,0,0
225,55859,12016,55054,8018,8,9,8,8,9,12,97,33,88,30,0.6,788,0.8,997,0.4,477,0.4,507,0.1,92,0.1,70,0.1,95,0.1,91,0,64,0.1,111,0.1,91,0.1,145,0.3,361,0.1,146,0,0,0.08,1,0.15,2,0.38,5,0.08,1,0,0,0,0,0,0,3459,20754,3632,21792,3403,17014,3287,13148,3287,13148,3287,13148,15,14,15,18,16,14,0,0,0,0,0,0,0,0,0,0
226,58350,16341,73095,35080,3,4,5,5,8,16,99,27,92,37,2.4,271,1.5,178,0.1,17,0.2,18,0.1,12,0.2,19,0.3,37,0.4,46,0.2,18,0.2,22,0.2,19,0.2,20,0.2,22,0.1,17,2.6,3,0.87,1,0,0,0,0,1.73,2,1.73,2,0.87,1,0,0,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,35,34,33,32,30,28,32,151,31,149,31,148,31,148,31,148
227,46893,26802,59444,24686,13,14,18,17,16,17,97,18,92,33,0.2,109,0.2,107,0.2,106,0.1,83,0.2,148,0.3,154,0.1,87,0.2,97,0.1,58,0.1,56,0.1,84,0.1,54,0.1,55,0.1,51,0,0,0,0,0,0,0.17,1,0,0,0.17,1,0,0,0.17,1,6092,12184,6092,12184,5685,11370,5685,11370,5685,11370,5685,11370,30,29,28,27,25,23,0,0,0,0,0,0,0,0,0,0
228,119010,27283,59826,17283,13,17,17,17,7,13,95,58,88,12,0.1,65,0.1,68,0.1,72,0.1,67,0.1,76,0,24,0,22,0,22,0,35,0,23,0,22,0,18,0,20,0,12,1.33,11,0.12,1,0.12,1,0,0,0,0,0.12,1,0.12,1,0,0,5647,45179,4341,30387,4341,30389,4341,30389,4861,29163,4861,29163,42,46,46,44,49,47,0,0,0,0,0,0,0,0,0,0
229,62941,13219,60438,18361,22,34,42,45,32,25,97,21,95,8,0.1,153,0.1,143,0.1,161,0.1,154,0.1,73,0,46,0,66,0.1,70,0.1,82,0.1,162,0.1,144,0.1,145,0.1,176,0.1,157,0,0,0,0,0.07,1,0,0,0.3,4,0,0,0.07,1,0.07,1,5248,36736,5248,36736,5248,36736,5248,36736,5666,33998,5666,33998,34,33,32,31,32,30,1,7,2,19,2,19,2,19,3,19
230,80202,16907,54766,31891,11,12,14,13,16,21,94,20,96,34,0.4,101,0.8,215,0.9,243,0.8,227,1.2,343,0.9,239,0.1,41,0.2,51,0.3,88,0.2,57,0.2,52,0.1,21,0.1,25,2.8,790,0.73,2,1.46,4,1.09,3,0.36,1,0.36,1,1.08,3,0,0,0.72,2,12596,113360,12596,113364,13084,104668,13084,104668,13134,105068,14045,98317,22,21,22,21,19,19,51,630,50,619,50,619,50,620,50,620
231,62130,13640,59392,13510,7,6,7,7,8,9,91,26,93,35,0.7,815,0.7,846,0.6,724,0.6,674,0.4,474,0.4,484,0.3,342,0.3,390,0.3,318,0.3,318,0.3,321,0.2,278,0.2,207,0.2,300,0.4,5,0.56,7,0.96,12,1.15,14,0.25,3,0.25,3,1.55,19,0.25,3,18534,185343,19686,177174,21300,170398,21300,170398,21300,170398,26457,158741,11,11,12,10,9,9,0,0,0,0,0,0,0,0,0,0
232,58558,11211,55891,8660,10,11,15,14,14,15,100,52,95,29,0.4,181,0.3,130,0.3,135,0.3,130,0.2,81,0.1,48,0.1,49,0.1,48,0.1,48,0.1,44,0.1,37,0,20,0,11,0,9,1.49,7,5.34,25,1.71,8,0.85,4,0.21,1,0.21,1,0.21,1,0.21,1,20688,206883,15588,124704,16307,114151,16307,114151,21734,108671,21734,108671,13,14,15,14,16,14,18,181,26,256,27,257,27,257,27,257
233,100449,17946,90982,18311,3,3,3,3,3,3,97,47,93,4,2.4,1613,2.4,1594,2.4,1621,2.4,1618,2.1,1399,1.9,1246,1.5,970,1.5,970,1.1,748,0.9,571,0.5,329,0.3,208,0.2,160,0.6,390,2.42,16,4.99,33,3.48,23,3.78,25,2.87,19,3.48,23,2.27,15,1.36,9,45964,1195064,45895,1101480,43583,1089580,41743,1001833,44572,980591,44572,980591,11,11,10,9,8,6,28,316,51,568,50,568,50,568,50,568
234,54643,15020,52258,18019,31,37,45,43,32,20,91,36,92,2,0.7,869,0.7,862,0.6,831,0.6,783,0.9,1197,0.9,1167,1,1350,1.3,1729,1,1262,0.9,1200,0.9,1170,1.4,1786,1.4,1850,1.1,1459,1.08,14,0.23,3,0.7,9,0.46,6,0.31,4,0.23,3,0.7,9,0.31,4,14785,798404,14653,776609,14747,781609,14264,770234,14046,772507,14328,773697,34,34,33,33,31,29,19,178,17,157,16,150,16,151,16,151
235,79467,17028,82854,16526,2,2,2,2,3,4,83,18,86,10,0.4,206,0.4,193,0.5,229,0.5,242,0.3,146,0.3,151,0.4,204,0.5,225,0.3,131,0.5,227,0.5,227,0.5,227,0.5,231,0.4,176,0.41,2,0,0,0.41,2,0,0,0.61,3,0,0,0.61,3,0,0,8047,24140,8047,24141,8047,24140,6453,19358,6453,19358,6453,19358,30,29,28,32,31,28,2,14,2,16,2,16,24,217,1,5
236,117250,32905,125714,31314,0,0,1,1,1,1,98,35,97,6,0.9,641,0.8,604,0.8,605,0.9,618,0.6,433,0.5,335,0.5,376,0.5,344,0.5,369,0.6,439,0.6,454,0.6,428,0.6,441,0.6,445,0.7,5,0.28,2,1.39,10,0.7,5,4.59,33,2.5,18,1.25,9,2.37,17,136156,816938,116799,817593,116799,817596,102361,818888,69537,834444,68014,816165,22,20,19,18,18,16,3,12,6,27,6,25,6,25,6,25
237,40551,6970,38269,5449,21,24,33,32,24,28,78,27,89,7,0.4,358,0.4,340,0.4,394,0.4,385,0.2,225,0.2,202,0.3,257,0.2,228,0.2,189,0.5,465,0.5,480,0.5,462,0.6,528,0.5,432,1.15,11,0.1,1,0.1,1,0.31,3,0.63,6,0.84,8,0.1,1,0.31,3,3695,70211,3695,70205,3695,70211,3822,68799,3402,57832,3273,58916,42,41,40,41,37,36,20,223,20,218,21,218,22,218,22,218
238,41703,7984,50375,15275,21,24,32,31,25,26,91,21,92,4,0.4,209,0.2,137,0.2,118,0.2,99,0.2,105,0.3,157,0.5,270,0.5,252,3,1674,2.6,1425,2.4,1345,2.3,1265,2.3,1246,2.3,1288,0.36,2,0.73,4,0.36,2,0,0,0.55,3,0,0,0.73,4,0.18,1,27689,719905,27183,679575,27292,682305,27793,722622,26783,723144,27835,723702,41,42,41,39,36,35,49,427,49,431,49,432,49,432,49,431
240,49146,9048,46270,9150,13,13,18,17,16,19,81,27,98,4,1.6,620,1.8,719,1.3,498,1.5,601,1.6,614,1.7,680,1.6,622,2,770,2.2,867,2.3,909,2.2,863,2.1,821,3,1165,2.9,1118,4.07,16,0.76,3,0.51,2,1.02,4,1.02,4,0.51,2,1.27,5,0.51,2,17543,508742,17543,508747,17543,508742,16446,509831,16450,509962,11666,408310,57,56,55,54,54,52,3,27,2,17,2,17,2,18,2,18
241,175000,48920,165625,28670,0,1,1,1,0,0,98,40,98,4,0.4,250,0.4,245,0.5,288,0.5,273,0.3,176,0.2,112,0.2,117,0.2,128,0.3,143,0.4,205,0.3,184,0.2,135,0.3,159,0.3,179,0.18,1,0.18,1,0.18,1,0,0,0.35,2,0.7,4,0.35,2,0.18,1,18677,56032,18677,56031,18677,56032,18677,56032,14806,59222,11998,59990,22,21,20,19,18,17,0,0,0,0,0,0,0,0,0,0
